img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_planet-51_6AmericaFront.jpg,Planet 51,DS,Action,Sega,Firebrand Games,,0.39,0.22,,0.14,0.04,2009-11-17,
/games/boxart/full_6244838AmericaFrontccc.jpg,Legends of WrestleMania,X360,Fighting,THQ,Yuke's,,0.39,0.2,,0.15,0.04,2009-03-24,
/games/boxart/3774101ccc.jpg,BattleTanx: Global Assault,N64,Action,3DO,3DO,,0.39,0.31,,0.07,0,1999-08-31,
/games/boxart/1069779ccc.jpg,Rumble Roses,PS2,Fighting,Konami,Yuke's Future Media Creators,,0.39,0.19,,0.15,0.05,2004-11-09,
/games/boxart/2401533ccc.jpg,Bump 'n' Jump,2600,Racing,Mattel Interactive,Mattel,,0.39,0.37,,0.02,0,1983-01-01,
/games/boxart/full_25465AmericaFrontccc.jpg,Tiger Woods PGA Tour 14,PS3,Sports,EA Sports,EA Tiburon,,0.39,0.16,,0.16,0.06,2013-03-26,2018-10-16
/games/boxart/9777510ccc.jpg,NHL 99,N64,Sports,EA Sports,MBL Research,,0.39,0.38,,0.01,0,1998-10-01,
/games/boxart/full_fatal-fury_1AmericaFront.jpg,Fatal Fury,SNES,Fighting,Takara,SNK Corporation,,0.39,,0.39,,,1993-04-01,
/games/boxart/full_7436995AmericaFrontccc.jpg,Harry Potter: Quidditch World Cup,GBA,Sports,Electronic Arts,Magic Pockets,4.9,0.39,0.28,,0.1,0.01,2003-10-28,
/games/boxart/full_ea-sports-active-2_4AmericaFront.jpg,EA Sports Active 2,X360,Sports,Electronic Arts,EA Vancouver,6.3,0.39,0.18,,0.16,0.04,2010-11-16,
/games/boxart/7482383ccc.jpg,Cabela's Dangerous Hunts 2,PS2,Action,Activision,Sand Grain Studios,,0.39,0.19,,0.15,0.05,2005-11-15,
/games/boxart/full_nba-jam_5AmericaFront.jpg,NBA Jam,X360,Sports,EA Sports,EA Tiburon,,0.39,0.27,,0.09,0.03,2010-11-16,
/games/boxart/full_fifa-soccer-12_991AmericaFront.jpg,FIFA Soccer 12,3DS,Sports,EA Sports,EA Canada,7,0.39,0.08,,0.27,0.04,2011-09-27,
/games/boxart/full_danball-senki_749JapanFront.jpg,Danball Senki,PSP,Role-Playing,Level 5,Level 5,,0.39,,0.39,,,2011-06-16,
/games/boxart/1930944ccc.jpg,Kengo: Master of Bushido,PS2,Fighting,Crave Entertainment,LightWeight,,0.39,0.16,0.06,0.13,0.04,2001-01-03,
/games/boxart/full_lego-star-wars-iii-the-clone-wars_579AmericaFront.jpg,LEGO Star Wars III: The Clone Wars,PSP,Action,LucasArts,Traveller's Tales,6.3,0.39,0.14,,0.16,0.08,2011-03-22,
/games/boxart/full_2886675PALFrontccc.jpg,Deus Ex: Mankind Divided,XOne,Role-Playing,Square Enix,Eidos Montreal,,0.39,0.25,,0.11,0.04,2016-08-23,2018-01-18
/games/boxart/full_madden-nfl-11_2AmericaFront.jpg,Madden NFL 11,PSP,Sports,EA Sports,EA Tiburon,,0.39,0.36,,,0.03,2010-08-10,
/games/boxart/full_1695523AmericaFrontccc.png,NHL 18,XOne,Sports,EA Sports,EA Canada,,0.39,0.32,,0.03,0.04,2017-09-15,
